year,stage,home_team,away_team,home_score,away_score,outcome,winning_team,date
1982,Group B,Spain,West Germany,1,2,A,West Germany,1982-07-02
1982,Group D,France,Northern Ireland,4,1,H,France,1982-07-04
1982,Group A,Poland,Soviet Union,0,0,D,Tied,1982-07-04
1982,Group C,Italy,Brazil,3,2,H,Italy,1982-07-05
1982,Group B,Spain,England,0,0,D,Tied,1982-07-05
1982,Semifinals,West Germany,France,3,3,H,West Germany,1982-07-08
1982,Semifinals,Poland,Italy,0,2,A,Italy,1982-07-08
1982,Third place,Poland,France,3,2,H,Poland,1982-07-10
1982,Final,Italy,West Germany,3,1,H,Italy,1982-07-11
1986,Group A,Bulgaria,Italy,1,1,D,Tied,1986-05-31
1986,Group C,Canada,France,0,1,A,France,1986-06-01
1986,Group D,Spain,Brazil,0,1,A,Brazil,1986-06-01
1986,Group A,Argentina,South Korea,3,1,H,Argentina,1986-06-02
1986,Group F,Morocco,Poland,0,0,D,Tied,1986-06-02
1986,Group C,Soviet Union,Hungary,6,0,H,Soviet Union,1986-06-02
1986,Group D,Algeria,Northern Ireland,1,1,D,Tied,1986-06-03
1986,Group B,Mexico,Belgium,2,1,H,Mexico,1986-06-03
1986,Group F,Portugal,England,1,0,H,Portugal,1986-06-03
1986,Group B,Paraguay,Iraq,1,0,H,Paraguay,1986-06-04
1986,Group E,Scotland,Denmark,0,1,A,Denmark,1986-06-04
1986,Group E,Uruguay,West Germany,1,1,D,Tied,1986-06-04
1986,Group C,France,Soviet Union,1,1,D,Tied,1986-06-05
1986,Group A,Italy,Argentina,1,1,D,Tied,1986-06-05
1986,Group A,South Korea,Bulgaria,1,1,D,Tied,1986-06-05
1986,Group D,Brazil,Algeria,1,0,H,Brazil,1986-06-06
1986,Group F,England,Morocco,0,0,D,Tied,1986-06-06
1986,Group C,Hungary,Canada,2,0,H,Hungary,1986-06-06
1986,Group B,Mexico,Paraguay,1,1,D,Tied,1986-06-07
1986,Group D,Northern Ireland,Spain,1,2,A,Spain,1986-06-07
1986,Group F,Poland,Portugal,1,0,H,Poland,1986-06-07
1986,Group E,Denmark,Uruguay,6,1,H,Denmark,1986-06-08
1986,Group E,West Germany,Scotland,2,1,H,West Germany,1986-06-08
